"Name","ID","PPG","APG","OREB","TS%"
"Jaden McDaniels","1630183","12.063291139240507","1.8734177215189873","1.1645569620253164","0.594086261393699"
"Anthony Edwards","1630162","24.632911392405063","4.430379746835443","0.5949367088607594","0.5610678016152795"
"Tyrese Haliburton","1630169","20.714285714285715","10.446428571428571","0.5892857142857143","0.614978032447283"
"Alperen Sengun","1630578","14.786666666666667","3.88","3.2266666666666666","0.587820631616973"
"Aaron Nesmith","1630174","10.10958904109589","1.3424657534246576","0.8493150684931506","0.5408398468998178"
"Franz Wagner","1630532","18.5625","3.5375","0.875","0.597492329463934"
"Quentin Grimes","1629656","11.253521126760564","2.112676056338028","0.6901408450704225","0.6184548713731676"
"Jalen Green","1630224","22.144736842105264","3.6973684210526314","0.5657894736842105","0.5314675048586966"
"Jabari Smith Jr.","1631095","12.784810126582279","1.2784810126582278","1.5443037974683544","0.5167687290237857"
"RJ Barrett","1629628","19.602739726027398","2.7534246575342465","0.821917808219178","0.5239010433149873"
